created_at,id,full_text,entities,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,possibly_sensitive_appealable,lang,text,label
Wed Mar 11 13:06:38 +0000 2020,1533,"@SBrusje @linnas79 @aafkeromeijn @rivm Dan hebben ze de zaak dus gewoon niet goed geregeld, ondanks 1,5 maand voorbereidingstijd. Je ziet hetzelfde incompetente gepruts in Amerika. #rivm","{'hashtags': [{'text': 'rivm', 'indices': [181, 186]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SBrusje', 'name': 'Sanne 👩\u200d🏫', 'id': 241219422, 'id_str': '241219422', 'indices': [0, 8]}, {'screen_name': 'linnas79', 'name': 'Linda 🦥', 'id': 51489126, 'id_str': '51489126', 'indices': [9, 18]}, {'screen_name': 'aafkeromeijn', 'name': 'Aafke Romeijn', 'id': 234295296, 'id_str': '234295296', 'indices': [19, 32]}, {'screen_name': 'rivm', 'name': 'RIVM', 'id': 35527415, 'id_str': '35527415', 'indices': [33, 38]}], 'urls': []}",False,0.0,1.0,False,False,,,nl,"    Dan hebben ze de zaak dus gewoon niet goed geregeld, ondanks 1,5 maand voorbereidingstijd. Je ziet hetzelfde incompetente gepruts in Amerika. #rivm",ANDERS
Sun Apr 12 16:33:38 +0000 2020,2190,De buren (4 volwassenen) + 3 kids onder hun afdak aan het BBQ 🤷🤷🤷 #afstandhouden #StayHome,"{'hashtags': [{'text': 'afstandhouden', 'indices': [66, 80]}, {'text': 'StayHome', 'indices': [81, 90]}], 'symbols': [], 'user_mentions': [], 'urls': []}",False,0.0,3.0,False,False,,,nl,De buren (4 volwassenen) + 3 kids onder hun afdak aan het BBQ 🤷🤷🤷 #afstandhouden #StayHome,EENS
Wed May 20 15:10:22 +0000 2020,4037,Thierry Baudet pleit voor veel meer maatwerk: ‘buiten zou je al lang af kunnen van die anderhalve meter’ https://t.co/kLv2NRDFES,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kLv2NRDFES', 'expanded_url': 'https://www.dagelijksestandaard.nl/2020/05/thierry-baudet-pleit-voor-veel-meer-maatwerk-buiten-zouden-we-allang-af-kunnen-van-die-anderhalve-meter/', 'display_url': 'dagelijksestandaard.nl/2020/05/thierr…', 'indices': [105, 128]}]}",False,0.0,0.0,False,False,False,False,nl,Thierry Baudet pleit voor veel meer maatwerk: ‘buiten zou je al lang af kunnen van die anderhalve meter’ ,ONEENS
Fri Apr 24 15:38:13 +0000 2020,362,"Samen zorgen we voor een rustig Heuvelland. Blijf ook in het weekend zoveel mogelijk thuis. Wil je een keer fietsen, hardlopen of wandelen? Dat mag en is gezond, maar doe dat in je eigen buurt en het liefst alleen. Houd 1,5 meter afstand en vermijd drukte. #Blijfthuis #Houvol https://t.co/22Me5XyZmU","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GemGulpenWittem', 'name': 'Gemeente Gulpen-Wittem', 'id': 296795105, 'id_str': '296795105', 'indices': [3, 19]}], 'urls': []}",False,3.0,0.0,False,False,,,nl,"Samen zorgen we voor een rustig Heuvelland. Blijf ook in het weekend zoveel mogelijk thuis. Wil je een keer fietsen, hardlopen of wandelen? Dat mag en is gezond, maar doe dat in je eigen buurt en het liefst alleen. Houd 1,5 meter afstand en vermijd drukte. #Blijfthuis #Houvol ",EENS
Mon Mar 23 20:33:41 +0000 2020,2253,"Alle bijeenkomsten tot 1 juni 2020 zijn verboden. Dat geldt ook voor kerkdiensten. Het is wel mogelijk om online kerkdiensten te verzorgen. Kom daarbij alleen samen met de mensen die noodzakelijkerwijs aanwezig moeten zijn. Houd anderhalve meter afstand.
https://t.co/qugOcvfTD6","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PKNnl', 'name': 'Protestantse Kerk in Nederland', 'id': 179417853, 'id_str': '179417853', 'indices': [3, 9]}], 'urls': []}",False,33.0,0.0,False,False,,,nl,"Alle bijeenkomsten tot 1 juni 2020 zijn verboden. Dat geldt ook voor kerkdiensten. Het is wel mogelijk om online kerkdiensten te verzorgen. Kom daarbij alleen samen met de mensen die noodzakelijkerwijs aanwezig moeten zijn. Houd anderhalve meter afstand.
",EENS
Mon Jun 01 10:25:16 +0000 2020,1185,"@JaapFriso die zit toch ook op 1,5 meter en die mondkapjes zijn toch omdat je in een bus die 1,5 meter niet meer kan houden","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JaapFriso', 'name': 'Jaap Friso', 'id': 36718349, 'id_str': '36718349', 'indices': [0, 10]}], 'urls': []}",False,0.0,0.0,False,False,,,nl," die zit toch ook op 1,5 meter en die mondkapjes zijn toch omdat je in een bus die 1,5 meter niet meer kan houden",EENS
Sat Apr 18 07:43:43 +0000 2020,1049,@DonArturito Maar wel anderhalve meter afstand,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DonArturito', 'name': 'Arthur van Amerongen', 'id': 92018099, 'id_str': '92018099', 'indices': [0, 12]}], 'urls': []}",False,0.0,0.0,False,False,,,nl, Maar wel anderhalve meter afstand,EENS
Sun Apr 26 17:30:53 +0000 2020,3879,Onderzoek Erasmus MC bevestigt: corona via lucht overdraagbaar. Gewoon afstand houden dus https://t.co/GlPt5tcUMc,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mickvanwely', 'name': 'Mick van Wely', 'id': 96949346, 'id_str': '96949346', 'indices': [3, 15]}], 'urls': [{'url': 'https://t.co/GlPt5tcUMc', 'expanded_url': 'https://www.ad.nl/dossier-coronavirus/onderzoek-erasmus-mc-bevestigt-corona-via-lucht-overdraagbaar~a3c0322c/?utm_source=twitter&utm_medium=social&utm_campaign=socialsharing_web', 'display_url': 'ad.nl/dossier-corona…', 'indices': [107, 130]}]}",False,22.0,0.0,False,False,False,False,nl,Onderzoek Erasmus MC bevestigt: corona via lucht overdraagbaar. Gewoon afstand houden dus ,EENS
Thu May 07 17:40:26 +0000 2020,1508,"@RitsemaWilma @polgroningen Politie te paard, het zouden vast geen little pony's zijn geweest, dus toch best wel 1.50m afstand gehouden van je fietsende moeder, maar dan in de hoogte. Lichtelijk gezeik toch.","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RitsemaWilma', 'name': 'wilma ritsema', 'id': 1271628566, 'id_str': '1271628566', 'indices': [0, 13]}], 'urls': []}",False,0.0,0.0,False,False,,,nl,"  Politie te paard, het zouden vast geen little pony's zijn geweest, dus toch best wel 1.50m afstand gehouden van je fietsende moeder, maar dan in de hoogte. Lichtelijk gezeik toch.",EENS
Wed May 27 06:59:44 +0000 2020,857,"27 Mei 8:59 : Leeuwarden half bewolkt, geen strandweer, watertemp. 17,4 gr. , Coronavirus: Vermijd drukte, houd 1,5 meter afstand.","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,0.0,1.0,False,False,,,nl,"27 Mei 8:59 : Leeuwarden half bewolkt, geen strandweer, watertemp. 17,4 gr. , Coronavirus: Vermijd drukte, houd 1,5 meter afstand.",EENS
